Year,B_tot,B_exp,Catch,Stock
1981,NA,NA,NA,Summer
1982,55143.447,38687.73551,18847,Summer
1983,61483.074,42992.12721,26291,Summer
1984,51398.67,37942.37852,25934,Summer
1985,49367.483,32129.41962,20357,Summer
1986,50888.314,31022.8398,20741,Summer
1987,45683.543,30819.63637,18223,Summer
1988,33014.997,28837.44589,21564,Summer
1989,16528.011,15111.79272,10041,Summer
1990,20598.368,12625.02924,7621,Summer
1991,25510.537,16997.93549,10421,Summer
1992,29467.506,25179.96274,13213,Summer
1993,30619.992,22897.39431,11246,Summer
1994,37166.369,24494.11227,12961,Summer
1995,40635.595,9431.388488,10950,Summer
1996,47209.051,13223.36594,12351,Summer
1997,45706.244,18840.40136,10649,Summer
1998,51375.671,24156.08173,12003,Summer
1999,43596.465,27289.12365,10910,Summer
2000,59368.136,38092.79209,14993,Summer
2001,60914.15,33870.25498,11813,Summer
2002,67096.434,37098.60014,11827,Summer
2003,75208.914,45940.35901,13654,Summer
2004,84147.733,48987.53025,15821,Summer
2005,70163.12,44507.96615,15189,Summer
2006,69055.675,47397.26349,13316,Summer
2007,68764.74,50877.94921,11800,Summer
2008,66838.418,35699.40463,10148,Summer
2009,70610.207,35752.79464,10150,Summer
2010,69260.291,36278.34843,10779,Summer
2011,65865.277,35990.40434,12345,Summer
2012,60441.436,36124.88504,10297,Summer
2013,58067.467,36968.55666,10464,Summer
2014,56647.716,34361.35633,10064,Summer
1978,NA,NA,14496,Scup
1979,NA,NA,13943,Scup
1980,NA,NA,16027,Scup
1981,NA,NA,17526,Scup
1982,NA,NA,15518,Scup
1983,NA,NA,14765,Scup
1984,38747.253,24446.3839,12641,Scup
1985,39695.718,22372.3464,13123,Scup
1986,45585.702,30366.90281,16769,Scup
1987,33074.296,22268.25974,12503,Scup
1988,29134.636,18133.99673,10976,Scup
1989,27835.794,14543.79884,8285,Scup
1990,28540.556,17329.36695,9299,Scup
1991,34656.844,19438.85854,14892,Scup
1992,28406.768,14997.77309,10562,Scup
1993,19007.204,12307.25352,7981,Scup
1994,16880.751,8724.885669,6804,Scup
1995,15621.319,7012.877407,4781,Scup
1996,16065.104,8768.5997,4993,Scup
1997,17534.958,7876.175139,3514,Scup
1998,26183.261,9828.565092,3086,Scup
1999,32362.697,14536.61508,3259,Scup
2000,70539.883,31534.91805,4779,Scup
2001,102566.49,69900.08744,5869,Scup
2002,122758.303,93317.62141,6553,Scup
2003,138162.2,109620.9891,9566,Scup
2004,154798.826,126126.8451,8993,Scup
2005,171389.643,113358.7035,5761,Scup
2006,193157.264,103402.4041,7084,Scup
2007,219896.192,115841.9083,7987,Scup
2008,242086.52,143934.0947,6062,Scup
2009,245175.664,159151.307,8583,Scup
2010,247942.244,158890.9695,10537,Scup
2011,259634.467,147450.1711,9858,Scup
2012,252947.083,132331.0196,9853,Scup
2013,234079.344,115015.9356,12045,Scup
2014,209820.162,95216.51409,10620,Scup
1978,NA,NA,NA,BSB
1979,NA,NA,NA,BSB
1980,NA,NA,2099,BSB
1981,NA,NA,1788,BSB
1982,NA,NA,2729,BSB
1983,NA,NA,3583,BSB
1984,NA,NA,2258,BSB
1985,NA,NA,2165,BSB
1986,NA,NA,3537,BSB
1987,NA,NA,2648,BSB
1988,NA,NA,2917,BSB
1989,8018.729048,3896.613437,2427.4,BSB
1990,8500.38536,3976.830033,2744.8,BSB
1991,9409.391458,3897.35115,2944.9,BSB
1992,10145.05694,4086.292119,2592.5,BSB
1993,9064.630429,4399.184585,3394,BSB
1994,8157.535393,3849.262442,2137.9,BSB
1995,10534.08366,4519.172927,3282,BSB
1996,10539.84263,5045.304468,3793.8,BSB
1997,10962.18828,4945.725821,3178.9,BSB
1998,10435.86809,4135.906154,1980,BSB
1999,13274.25563,5982.561666,2330.5,BSB
2000,16497.08376,7396.960475,3494.1,BSB
2001,18125.92616,8233.766126,3620.4,BSB
2002,19072.94313,10731.24975,4346.7,BSB
2003,16339.70522,9850.966697,3772.8,BSB
2004,12757.41036,7503.345321,2903.5,BSB
2005,11327.25276,7179.276258,2377.1,BSB
2006,10603.04245,6101.157257,2319.5,BSB
2007,10546.81918,5184.510735,2348.5,BSB
2008,13133.71214,5615.050628,2106.3,BSB
2009,13708.88003,6438.571265,2132.2,BSB
2010,16239.93464,8443.88864,2587.2,BSB
2011,14870.33569,8244.646177,1661.6,BSB
2012,22151.51392,11313.65696,2729.4,BSB
2013,24517.93792,12198.31804,2733,BSB
2014,27498.54086,17647.84381,3630.6,BSB
1978,NA,NA,NA,Bluefish
1979,NA,NA,NA,Bluefish
1980,NA,NA,NA,Bluefish
1981,NA,NA,NA,Bluefish
1982,NA,NA,45480,Bluefish
1983,NA,NA,48871,Bluefish
1984,NA,NA,37237,Bluefish
1985,204733.24,129269.3128,32413.6,Bluefish
1986,187663.06,126296.075,52234,Bluefish
1987,160004.13,107392.2192,45191.7,Bluefish
1988,121554.9,78119.1392,28670.5,Bluefish
1989,112508.36,72931.4348,23693.1,Bluefish
1990,102685.355,67918.0996,20252.5,Bluefish
1991,90241.705,60418.15955,20647.4,Bluefish
1992,82545.66,58132.1326,16945.8,Bluefish
1993,77240.16,53175.9,14630.1,Bluefish
1994,79265.68,52581.5948,12278.8,Bluefish
1995,75867.795,49922.3161,10951.5,Bluefish
1996,72277.38,49073.4888,9902.6,Bluefish
1997,72602.275,48612.3594,11028.4,Bluefish
1998,78657.745,53440.87825,9788.9,Bluefish
1999,83750.85,56652.316,6635.7,Bluefish
2000,95186.05,65979.8446,8600.9,Bluefish
2001,102153.36,70575.5572,10696.2,Bluefish
2002,91182.01,63453.684,8314.9,Bluefish
2003,97240.94,66397.1569,10475.6,Bluefish
2004,104447.045,73503.20035,12175,Bluefish
2005,117443.455,77339.4284,12865.2,Bluefish
2006,97949.07,66946.1985,11142.7,Bluefish
2007,98545.545,66338.63655,13590.8,Bluefish
2008,109841.26,76048.30015,12595.8,Bluefish
2009,100342.115,66158.129,9855.6,Bluefish
2010,101787.215,64203.4368,11275.2,Bluefish
2011,99152.23,59232.33685,8173.7,Bluefish
2012,104778.745,61392.7795,8075.6,Bluefish
2013,112113.865,66052.46505,9040.3,Bluefish
2014,107629.435,65279.87975,7008.6,Bluefish
